Player_Name,Market Value (M Euro),Cluster,Goals per match,Shots_PA,Shooting accuracy %,Tackles_PA,Interceptions_PA,Recoveries_PA,Duels_won_PA,Tackle success %,Aerial_battles_won_PA,Assists_PA,Passes per match,Through_balls_PA,Accurate_long_balls_PA,Big_chances_PA
Oliver Skipp,15.0,Balanced,-1.0331613653979717,-1.459239910130532,0.22484468257643508,-0.3621721789614578,-0.6219247027137271,-0.6042311543062352,-0.8607456675672971,-0.20846783492432655,-0.4379434831568395,-1.1859667506224953,-0.26771112997140206,-0.667791092727603,-0.48341584123092857,-1.053665200452757
Mario Lemina,10.0,Defensive,-0.5385519679176372,-0.1303460565216809,-0.5588732027825788,1.24984874082168,1.4904939048107502,0.752013533382087,0.8770255116272029,0.5977981750341417,0.556904568392402,-0.6559707215273807,0.39255844620325364,-0.12578057706155396,0.40682784745839556,-0.6870628037348536
Jack Hinshelwood,16.0,Balanced,1.1925809232635336,0.06779693167812885,2.4640386407450463,-0.581804469630523,0.7414109324249628,-0.9323136656378769,-1.3025429466400105,-3.3183510161927043,-0.3163509435230433,-1.1859667506224953,0.3792792815427578,-1.051593133550589,-0.48173191603717924,-0.6055654403649525
Moisés Caicedo,75.0,Defensive,-0.6622043172877208,-0.7298755651090573,0.0009252867595739772,1.6332335926106163,1.4911542776926652,1.4104428655635508,1.2944606148291655,-0.7843721277518039,0.4937776639165867,-0.3494669938579167,1.8827758136589006,0.8479957624745034,1.0232711538124204,-0.40923793025572325
Pierre-Emile Højbjerg,18.0,Defensive,-0.5385519679176372,-0.14739120587599533,-0.11103441114885658,0.7440627391096164,1.551778588167068,2.122010602740787,0.7284671688777756,0.2522555993376553,0.529400457780892,-0.3659335245028887,1.9218755762703605,-0.048872526109118325,1.871957949459036,-0.4595591818286563
Pablo Sarabia,10.0,Attacking,0.2033621283028646,0.888553100028452,0.6726834742101573,-1.0233197445633044,-0.9605705419605228,-0.6669605754079605,-1.068928588897411,-0.20846783492432655,-0.8014928945871796,0.9740615101784835,-0.42484791178726977,0.4307356374501881,-0.32505203189877235,0.8304085703573415
Enzo Fernández,75.0,Defensive,-0.41489961854755353,0.7375426771917717,-0.22299410905728714,0.942848195076409,-0.04011117316020921,0.7164760803917758,0.6077550301009023,-0.6691912691863084,-0.15595707398755337,-0.052424223088454104,2.7887099360527294,3.1561304650230455,4.516398619752705,0.300359601004658
Jakub Moder,10.0,Balanced,-1.1568137147680553,-0.2070366883251162,-0.8947522965078705,-0.19223216821924527,-1.0221553979415765,-0.5294496622523762,-0.7108838469255955,-0.323648693489822,-0.11718740571776629,-0.4551301210281793,-0.6380522777252312,-0.30688250697125125,-1.03952475082982,-0.06337845691145479
Facundo Buonanotte,18.0,Balanced,0.32701447767294817,-0.4294788373958125,0.7846431721185878,-0.4040925968937145,-0.9284110082875413,-1.0985592238397883,-0.38916513678685216,-1.0147338448827947,-0.8646741719350671,-0.21718331139282052,-1.1168399368731097,-0.6285183257596695,-1.0416957845353474,0.08701252031708417
Ryan Gravenberch,35.0,Balanced,-0.7858566666578044,-0.4250773553903635,0.4487640783932962,-0.42370218285087985,0.08115949839611067,-0.5866599746971658,-0.4528311378576181,-0.5540104106208129,-0.4669122386808787,-1.1859667506224953,-0.6269863071748178,0.2030425033466205,-1.0826609446617137,-0.857452935499148
