Player_Name,Appearances,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Tackles,Tackle success %,Blocked shots,Interceptions,Clearances,Headed Clearance,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Errors leading to goal,Assists_PA,Shots_PA,Tackles_PA,Interceptions_PA,Big_chances_PA,Recoveries_PA,Duels_won_PA,Through_balls_PA,Accurate_long_balls_PA,Aerial_battles_won_PA,Cluster,Market Value (M Euro)
Wataru Endo,30,1,0.03,0,1,0,0,0,10,3,30,1,0,0,1306,43.53,2,4,50,5,28,10,0,50,0,48,58,4,20,30,25,109,114,145,10,31,27,0,0.0,0.3333333333333333,1.6,0.6666666666666666,0.06666666666666667,3.6333333333333333,3.8,0.16666666666666666,0.9333333333333333,1.0333333333333334,Balanced,13.0
Dominik Szoboszlai,36,3,0.08,1,1,1,0,0,65,15,23,0,3,3,1548,43.0,9,117,25,5,59,2,0,33,3,35,54,27,16,14,5,190,104,146,25,15,22,0,0.08333333333333333,1.8055555555555556,0.9722222222222222,0.4444444444444444,0.25,5.277777777777778,2.888888888888889,0.1388888888888889,1.6388888888888888,0.4166666666666667,Attacking,75.0
Kevin Schade,32,2,0.06,0,2,0,0,0,23,9,39,2,6,2,275,8.59,5,23,26,2,1,2,0,24,9,19,63,3,5,9,6,59,105,127,17,53,42,0,0.0625,0.71875,0.59375,0.15625,0.15625,1.84375,3.28125,0.0625,0.03125,1.65625,Balanced,22.0
James Garner,55,1,0.02,0,1,0,0,0,50,14,28,4,2,3,1424,25.89,7,149,20,4,56,10,0,55,4,99,58,13,57,59,19,242,215,179,26,37,35,1,0.05454545454545454,0.9090909090909091,1.8,1.0363636363636364,0.12727272727272726,4.4,3.909090909090909,0.07272727272727272,1.018181818181818,0.6727272727272727,Balanced,22.0
Billy Gilmour,81,0,0.0,0,0,0,0,0,52,9,17,1,0,3,4067,50.21,5,138,33,15,181,11,1,65,1,84,55,25,40,52,21,322,206,248,29,33,53,0,0.037037037037037035,0.6419753086419753,1.037037037037037,0.49382716049382713,0.06172839506172839,3.9753086419753085,2.54320987654321,0.18518518518518517,2.234567901234568,0.4074074074074074,Balanced,18.0
Kevin De Bruyne,263,69,0.26,1,45,23,4,4,642,227,35,31,24,113,13337,50.71,187,1816,26,205,681,21,0,202,28,318,64,185,117,96,58,1141,997,1185,344,100,152,1,0.4296577946768061,2.44106463878327,1.209125475285171,0.4448669201520912,0.7110266159695817,4.338403041825095,3.790874524714829,0.779467680608365,2.5893536121673004,0.38022813688212925,Attacking,50.0
Harvey Barnes,170,41,0.24,1,30,10,0,0,326,135,41,1,34,29,3324,19.55,33,197,15,22,53,7,0,107,28,109,53,94,38,36,16,459,553,754,179,117,189,0,0.17058823529411765,1.9176470588235295,0.6411764705882353,0.2235294117647059,0.19411764705882353,2.7,3.2529411764705882,0.12941176470588237,0.31176470588235294,0.6882352941176471,Attacking,35.0
Naouirou Ahamada,28,0,0.0,0,0,0,0,0,12,2,17,0,0,0,223,7.96,0,8,0,0,9,3,1,11,3,16,69,4,2,4,1,38,33,44,8,4,4,0,0.0,0.42857142857142855,0.5714285714285714,0.07142857142857142,0.0,1.3571428571428572,1.1785714285714286,0.0,0.32142857142857145,0.14285714285714285,Balanced,8.0
Adam Lallana,292,33,0.11,2,14,15,0,0,335,112,33,9,25,33,9075,31.08,32,514,20,52,189,23,0,181,62,401,70,108,201,149,58,1127,1093,1321,249,154,297,0,0.11301369863013698,1.1472602739726028,1.3732876712328768,0.6883561643835616,0.1095890410958904,3.8595890410958904,3.743150684931507,0.1780821917808219,0.6472602739726028,0.5273972602739726,Balanced,1.0
Mateo Kovacic,175,6,0.03,0,6,0,0,0,141,27,19,1,6,13,9319,53.25,22,34,15,51,341,31,0,114,0,286,64,61,83,81,31,735,742,531,255,50,57,0,0.07428571428571429,0.8057142857142857,1.6342857142857143,0.4742857142857143,0.12571428571428572,4.2,4.24,0.2914285714285714,1.9485714285714286,0.2857142857142857,Defensive,30.0
Jacob Murphy,153,11,0.07,1,10,0,0,1,142,43,30,6,10,17,2085,13.63,28,302,21,18,65,8,0,68,8,145,57,41,57,71,34,439,376,476,117,39,102,0,0.1111111111111111,0.9281045751633987,0.9477124183006536,0.37254901960784315,0.1830065359477124,2.869281045751634,2.457516339869281,0.11764705882352941,0.42483660130718953,0.2549019607843137,Balanced,15.0
